ปี,เดือน,วัน,Country,Major Group,Menu Item Name,Sales Count
2024,ธันวาคม,16,Thailand,Condiment,Seat 5,1
2024,ธันวาคม,16,Thailand,Condiment,Seat 6,2
2024,ธันวาคม,16,Thailand,Condiment,Seat 7,1
2024,ธันวาคม,16,Thailand,Condiment,Seat No: 11,1
2024,ธันวาคม,16,Thailand,Condiment,Seat No: 13,1
2024,ธันวาคม,16,Thailand,Condiment,Seat No: 13-16,2
2024,ธันวาคม,16,Thailand,Condiment,Seat No: 21,2
2024,ธันวาคม,16,Thailand,Condiment,Seat No: Seat 3-6,4
2024,ธันวาคม,16,Thailand,Condiment,Separate ice,4
2024,ธันวาคม,16,Thailand,Condiment,Spicy,1
2024,ธันวาคม,16,Thailand,Condiment,Strain,6
2024,ธันวาคม,16,Thailand,Condiment,Strawberry,5
2024,ธันวาคม,16,Thailand,Condiment,Take away,2
2024,ธันวาคม,16,Thailand,Condiment,Water,9
2024,ธันวาคม,16,Thailand,Condiment,White Sauce,3
2024,ธันวาคม,16,Thailand,Condiment,With chili,2
2024,ธันวาคม,16,Thailand,Condiment,With Passion fruit,1
2024,ธันวาคม,16,Thailand,Condiment,With Vegetables,2
2024,ธันวาคม,16,Thailand,Food,Aburi Salmon Roll,1
2024,ธันวาคม,16,Thailand,Food,Add Chicken,3
2024,ธันวาคม,16,Thailand,Food,Add Fries,3
2024,ธันวาคม,16,Thailand,Food,Aglo Olio Pancetta,7
2024,ธันวาคม,16,Thailand,Food,Al Quattro Formaggi,3
2024,ธันวาคม,16,Thailand,Food,Andaman Lobster,1
2024,ธันวาคม,16,Thailand,Food,AUS Wagyu BG,2
2024,ธันวาคม,16,Thailand,Food,BLT Sandwiches,1
2024,ธันวาคม,16,Thailand,Food,Bolognaise,3
2024,ธันวาคม,16,Thailand,Food,Caesar Salad,6
2024,ธันวาคม,16,Thailand,Food,Calamari Fritter,1
2024,ธันวาคม,16,Thailand,Food,Caramel IC,2
2024,ธันวาคม,16,Thailand,Food,Carbonara,3
2024,ธันวาคม,16,Thailand,Food,Chicken Burger,4
2024,ธันวาคม,16,Thailand,Food,Chicken Satay,1
2024,ธันวาคม,16,Thailand,Food,Chicken Wing,5
2024,ธันวาคม,16,Thailand,Food,Chocolate IC,2
2024,ธันวาคม,16,Thailand,Food,Coconut IC,2
2024,ธันวาคม,16,Thailand,Food,Crispy filo king prawns,2
2024,ธันวาคม,16,Thailand,Food,Fast fare,2
2024,ธันวาคม,16,Thailand,Food,Fries,10
2024,ธันวาคม,16,Thailand,Food,Fuga Pizza,1
2024,ธันวาคม,16,Thailand,Food,Green Dragon Roll(VG),4
2024,ธันวาคม,16,Thailand,Food,Hummus,4
2024,ธันวาคม,16,Thailand,Food,Kaopad Moo,1
2024,ธันวาคม,16,Thailand,Food,Lamb Kofta,3
2024,ธันวาคม,16,Thailand,Food,Margherita PZ,5
2024,ธันวาคม,16,Thailand,Food,Mari Monti Platter,1
2024,ธันวาคม,16,Thailand,Food,Mixed Bruschetta Platter,1
2024,ธันวาคม,16,Thailand,Food,Mixed Fruit,1
2024,ธันวาคม,16,Thailand,Food,Mixed Grilled Seafood Platter,1
2024,ธันวาคม,16,Thailand,Food,Mixed Olives,1
2024,ธันวาคม,16,Thailand,Food,Oreo IC,6
2024,ธันวาคม,16,Thailand,Food,Pad Kaprao Moo,3
2024,ธันวาคม,16,Thailand,Food,Pad Ka-Prao Talay,1
2024,ธันวาคม,16,Thailand,Food,Philadelphia Roll,3
2024,ธันวาคม,16,Thailand,Food,Pomodoro,5
2024,ธันวาคม,16,Thailand,Food,Salami E Peperoni,8
2024,ธันวาคม,16,Thailand,Food,Salmon Ceviche,1
2024,ธันวาคม,16,Thailand,Food,Salmon Sashimi (Sake),1
2024,ธันวาคม,16,Thailand,Food,Seafood PZ,2
2024,ธันวาคม,16,Thailand,Food,Seafoods Pasta,3
2024,ธันวาคม,16,Thailand,Food,Spiced Seafood Salad,1
2024,ธันวาคม,16,Thailand,Food,Spicy Tuna Roll,1
2024,ธันวาคม,16,Thailand,Food,Spring Roll,3
2024,ธันวาคม,16,Thailand,Food,Sweet Potato Fries,4
2024,ธันวาคม,16,Thailand,Food,Tenderloin Beef,1
2024,ธันวาคม,16,Thailand,Food,The Italian farmer's Table,1
2024,ธันวาคม,16,Thailand,Food,Truffle Fries,4
2024,ธันวาคม,16,Thailand,Food,Truffle Mac N Cheese,2
2024,ธันวาคม,16,Thailand,Food,Ultimate Sashimi (20 Pieces),1
2024,ธันวาคม,16,Thailand,Food,Vanilla IC,2
2024,ธันวาคม,16,Thailand,Gift Shop,Tulum Shirt,1
2024,ธันวาคม,16,Thailand,Non Alc Bev,Café Latte,2
2024,ธันวาคม,16,Thailand,Non Alc Bev,Cappuccino,3
2024,ธันวาคม,16,Thailand,Non Alc Bev,Coconut J,5
2024,ธันวาคม,16,Thailand,Non Alc Bev,Coke,9
2024,ธันวาคม,16,Thailand,Non Alc Bev,Coke Zero,8
2024,ธันวาคม,16,Thailand,Non Alc Bev,English Tea,1
2024,ธันวาคม,16,Thailand,Non Alc Bev,Fanta Orange,1
2024,ธันวาคม,16,Thailand,Non Alc Bev,Ginger Ale,1
2024,ธันวาคม,16,Thailand,Non Alc Bev,Hot Americano,3
2024,ธันวาคม,16,Thailand,Non Alc Bev,Lime  J,2
2024,ธันวาคม,16,Thailand,Non Alc Bev,Mango Shake,2
2024,ธันวาคม,16,Thailand,Non Alc Bev,Pineapple J,2
2024,ธันวาคม,16,Thailand,Non Alc Bev,Red Bull,4
2024,ธันวาคม,16,Thailand,Non Alc Bev,San Pelli Lg.,4
2024,ธันวาคม,16,Thailand,Non Alc Bev,San Pelli Sm.,3
2024,ธันวาคม,16,Thailand,Non Alc Bev,Singha Water,27
2024,ธันวาคม,16,Thailand,Non Alc Bev,Soda,5
2024,ธันวาคม,16,Thailand,Non Alc Bev,Sprite,2
2024,ธันวาคม,16,Thailand,Non Alc Bev,Tonic,8
2024,ธันวาคม,16,Thailand,Non Alc Bev,Virgin Blue Hawii,1
2024,ธันวาคม,16,Thailand,Non Alc Bev,Virgin Mojito,14
2024,ธันวาคม,16,Thailand,Non Alc Bev,Virgin Pina,1
2024,ธันวาคม,16,Thailand,Non Alc Bev,Watermelon J,2
2024,ธันวาคม,16,Thailand,Spirit,Aloha sunset tiki,1
2024,ธันวาคม,16,Thailand,Spirit,Aperol Spritz,6
2024,ธันวาคม,16,Thailand,Spirit,Bailey's Gls,1
2024,ธันวาคม,16,Thailand,Spirit,Belvedere Gls,2
2024,ธันวาคม,16,Thailand,Spirit,Belvedere Mule,5
2024,ธันวาคม,16,Thailand,Spirit,Blue Hawaii,2
2024,ธันวาคม,16,Thailand,Spirit,Bombay Sapphire Gls,2
2024,ธันวาคม,16,Thailand,Spirit,Classic Mimosa,2
2024,ธันวาคม,16,Thailand,Spirit,Daiquiri,3
2024,ธันวาคม,16,Thailand,Spirit,Glenfiddich 12 Gls,2
2024,ธันวาคม,16,Thailand,Spirit,Grey Goose Ori. Gls,1
2024,ธันวาคม,16,Thailand,Spirit,Hendrick's Gls,9
2024,ธันวาคม,16,Thailand,Spirit,Hennessy V.S.O.P. Gls,2
2024,ธันวาคม,16,Thailand,Spirit,Jager boom,2
2024,ธันวาคม,16,Thailand,Spirit,JW Black Label Gls,4
2024,ธันวาคม,16,Thailand,Spirit,Long Island Ice Tea,7
2024,ธันวาคม,16,Thailand,Spirit,Margarita,11
2024,ธันวาคม,16,Thailand,Spirit,Mojito,5
2024,ธันวาคม,16,Thailand,Spirit,Monkey Shoulder G,11
2024,ธันวาคม,16,Thailand,Spirit,Old Fashioned,1
2024,ธันวาคม,16,Thailand,Spirit,Pina Colada,3
2024,ธันวาคม,16,Thailand,Spirit,Planatation Dark Gls,1
2024,ธันวาคม,16,Thailand,Spirit,Red Sangria,2
2024,ธันวาคม,16,Thailand,Spirit,Rose Sangria Glass,1
2024,ธันวาคม,16,Thailand,Spirit,Strawberry Daiquiri,3
2024,ธันวาคม,16,Thailand,Spirit,Tanqueray Gls,1
2024,ธันวาคม,16,Thailand,Tips,TIP,7
2024,ธันวาคม,16,Thailand,Tobacco,Aroma De Cuba Belicoso,2
2024,ธันวาคม,16,Thailand,Tobacco,Aroma Mi Amor,3
2024,ธันวาคม,16,Thailand,Tobacco,Rocky Patel 2003,1
2024,ธันวาคม,16,Thailand,Wine,Clear Water Gls,10
2024,ธันวาคม,16,Thailand,Wine,Corte Vigna Pino Btl,1
2024,ธันวาคม,16,Thailand,Wine,Corte Vingna Pino Gls,3
2024,ธันวาคม,16,Thailand,Wine,La Chapelle Btl,2
2024,ธันวาคม,16,Thailand,Wine,Marcello Del Majno Gls,2
2024,ธันวาคม,16,Thailand,Wine,Mont gras Syrah Btl,1
2024,ธันวาคม,16,Thailand,Wine,Montgras Char Gls,2
2024,ธันวาคม,16,Thailand,Wine,Vistis Nostra Btl,1
2024,ธันวาคม,17,Thailand,Beer,Chang Beer BT.,31
2024,ธันวาคม,17,Thailand,Beer,Heineken Beer BT.,10
2024,ธันวาคม,17,Thailand,Beer,San Miguel Light,6
2024,ธันวาคม,17,Thailand,Beer,Singha Beer BT.,12
2024,ธันวาคม,17,Thailand,Condiment,1 with ice 1 No ice,2
2024,ธันวาคม,17,Thailand,Condiment,1glass,1
2024,ธันวาคม,17,Thailand,Condiment,2g,2
2024,ธันวาคม,17,Thailand,Condiment,2glass,1
2024,ธันวาคม,17,Thailand,Condiment,4g,1
2024,ธันวาคม,17,Thailand,Condiment,Cook,1
2024,ธันวาคม,17,Thailand,Condiment,Cranberry juice,1
2024,ธันวาคม,17,Thailand,Condiment,Do Not Make Order,9
2024,ธันวาคม,17,Thailand,Condiment,Double,2
2024,ธันวาคม,17,Thailand,Condiment,Ice,2
2024,ธันวาคม,17,Thailand,Condiment,Mango,1
2024,ธันวาคม,17,Thailand,Condiment,Medium Rare,2
2024,ธันวาคม,17,Thailand,Condiment,Neat,10
2024,ธันวาคม,17,Thailand,Condiment,No cheese,3
2024,ธันวาคม,17,Thailand,Condiment,No ice,1
2024,ธันวาคม,17,Thailand,Condiment,No meat,1
2024,ธันวาคม,17,Thailand,Condiment,No pancetta,1
2024,ธันวาคม,17,Thailand,Condiment,not spisy,1
2024,ธันวาคม,17,Thailand,Condiment,On The Rock,3
2024,ธันวาคม,17,Thailand,Condiment,Rum,2
2024,ธันวาคม,17,Thailand,Condiment,Separate ice,2
2024,ธันวาคม,17,Thailand,Condiment,Strain,3
2024,ธันวาคม,17,Thailand,Condiment,Straw,1
2024,ธันวาคม,17,Thailand,Condiment,Take away,3
2024,ธันวาคม,17,Thailand,Condiment,Water,3
2024,ธันวาคม,17,Thailand,Condiment,ไม่เค็ม นะคะ,3
2024,ธันวาคม,17,Thailand,Food,Aburi Salmon Roll,1
2024,ธันวาคม,17,Thailand,Food,Add Chicken,2
2024,ธันวาคม,17,Thailand,Food,Add Fries,4
2024,ธันวาคม,17,Thailand,Food,Aglo Olio Pancetta,1
2024,ธันวาคม,17,Thailand,Food,Akami Sushi,1
2024,ธันวาคม,17,Thailand,Food,Al Quattro Formaggi,1
2024,ธันวาคม,17,Thailand,Food,Almond Croissant,3
2024,ธันวาคม,17,Thailand,Food,Andaman Lobster,4
2024,ธันวาคม,17,Thailand,Food,AUS Wagyu BG,4
2024,ธันวาคม,17,Thailand,Food,Beef Bresaola,3
2024,ธันวาคม,17,Thailand,Food,Blueberry Cheesecake,3
2024,ธันวาคม,17,Thailand,Food,Bolognaise,2
2024,ธันวาคม,17,Thailand,Food,Caesar Salad,3
2024,ธันวาคม,17,Thailand,Food,Calamari Fritter,1
2024,ธันวาคม,17,Thailand,Food,California Roll,2
2024,ธันวาคม,17,Thailand,Food,Carbonara,2
2024,ธันวาคม,17,Thailand,Food,Chicken Burger,1
2024,ธันวาคม,17,Thailand,Food,Chicken Wing,1
2024,ธันวาคม,17,Thailand,Food,Chocolate IC,1
2024,ธันวาคม,17,Thailand,Food,Cinnamon Brioche,1
2024,ธันวาคม,17,Thailand,Food,Coconut IC,2
2024,ธันวาคม,17,Thailand,Food,Crispy filo king prawns,4
2024,ธันวาคม,17,Thailand,Food,Doughnut,1
2024,ธันวาคม,17,Thailand,Food,Dragon Roll,2
2024,ธันวาคม,17,Thailand,Food,Fried egg,1
2024,ธันวาคม,17,Thailand,Food,Fries,11
2024,ธันวาคม,17,Thailand,Food,Fuga Pizza,1
2024,ธันวาคม,17,Thailand,Food,Granola,3
2024,ธันวาคม,17,Thailand,Food,Grill Salmon,9
2024,ธันวาคม,17,Thailand,Food,Hamachi Sashimi,1
2024,ธันวาคม,17,Thailand,Food,Hummus,7
2024,ธันวาคม,17,Thailand,Food,Kaopad Gai,2
2024,ธันวาคม,17,Thailand,Food,Kaopad Nuea,1
2024,ธันวาคม,17,Thailand,Food,Lamb Kofta,1
2024,ธันวาคม,17,Thailand,Food,Lobster Pad Thai,1
2024,ธันวาคม,17,Thailand,Food,Maguro Sashimi,1
2024,ธันวาคม,17,Thailand,Food,Margherita PZ,10
2024,ธันวาคม,17,Thailand,Food,Mix nuts,2
2024,ธันวาคม,17,Thailand,Food,Mixed Bruschetta Platter,1
2024,ธันวาคม,17,Thailand,Food,Mixed nuts cookies,1
2024,ธันวาคม,17,Thailand,Food,Mixed Olives,2
2024,ธันวาคม,17,Thailand,Food,Nuttella Croissant,3
2024,ธันวาคม,17,Thailand,Food,Oreo IC,1
2024,ธันวาคม,17,Thailand,Food,Pad Kaprao Moo,3
2024,ธันวาคม,17,Thailand,Food,Pad Kaprao Nuea,1
2024,ธันวาคม,17,Thailand,Food,Pad Ka-Prao Talay,1
2024,ธันวาคม,17,Thailand,Food,Pham Thai going,1
2024,ธันวาคม,17,Thailand,Food,Philadelphia Roll,4
2024,ธันวาคม,17,Thailand,Food,Plain Croissant,6
2024,ธันวาคม,17,Thailand,Food,Pomodoro,7
2024,ธันวาคม,17,Thailand,Food,Pork ribs,2
2024,ธันวาคม,17,Thailand,Food,Pure Poached,2
2024,ธันวาคม,17,Thailand,Food,Rib Eyes (300 g),2
2024,ธันวาคม,17,Thailand,Food,Rice,1
2024,ธันวาคม,17,Thailand,Food,Rock Lobster,3
2024,ธันวาคม,17,Thailand,Food,Salami E Peperoni,1
2024,ธันวาคม,17,Thailand,Food,Salmon Ceviche,2
2024,ธันวาคม,17,Thailand,Food,Seafood PZ,2
2024,ธันวาคม,17,Thailand,Food,Seafoods Pasta,2
2024,ธันวาคม,17,Thailand,Food,Spiced Seafood Salad,1
2024,ธันวาคม,17,Thailand,Food,Strawberry IC,1
2024,ธันวาคม,17,Thailand,Food,Strawberry shortcake,1
2024,ธันวาคม,17,Thailand,Food,Sweet Potato Fries,1
2024,ธันวาคม,17,Thailand,Food,Take Sashimi,1
2024,ธันวาคม,17,Thailand,Food,The Italian farmer's Table,1
2024,ธันวาคม,17,Thailand,Food,Truffle Fries,3
2024,ธันวาคม,17,Thailand,Food,Truffle Mac N Cheese,8
2024,ธันวาคม,17,Thailand,Food,Under the sea,2
2024,ธันวาคม,17,Thailand,Misc,rent towel,1
2024,ธันวาคม,17,Thailand,Misc,Sunbed,4
2024,ธันวาคม,17,Thailand,Non Alc Bev,Acqua Panna,1
2024,ธันวาคม,17,Thailand,Non Alc Bev,Café Latte,2
2024,ธันวาคม,17,Thailand,Non Alc Bev,Coconut J,12
2024,ธันวาคม,17,Thailand,Non Alc Bev,Coke,15
2024,ธันวาคม,17,Thailand,Non Alc Bev,Coke Zero,14
2024,ธันวาคม,17,Thailand,Non Alc Bev,Double Espresso,2
2024,ธันวาคม,17,Thailand,Non Alc Bev,English Tea,1
2024,ธันวาคม,17,Thailand,Non Alc Bev,Fanta Orange,3
2024,ธันวาคม,17,Thailand,Non Alc Bev,Ginger Ale,2
2024,ธันวาคม,17,Thailand,Non Alc Bev,Hot Americano,2
2024,ธันวาคม,17,Thailand,Non Alc Bev,Ice Coffee,3
2024,ธันวาคม,17,Thailand,Non Alc Bev,Mango J,2
2024,ธันวาคม,17,Thailand,Non Alc Bev,Mango Shake,3
2024,ธันวาคม,17,Thailand,Non Alc Bev,Pineapple J,2
2024,ธันวาคม,17,Thailand,Non Alc Bev,Red Bull,2
2024,ธันวาคม,17,Thailand,Non Alc Bev,San Pelli Lg.,8
2024,ธันวาคม,17,Thailand,Non Alc Bev,Singha Water,27
2024,ธันวาคม,17,Thailand,Non Alc Bev,Soda,8
2024,ธันวาคม,17,Thailand,Non Alc Bev,Sprite,4
2024,ธันวาคม,17,Thailand,Non Alc Bev,Tonic,11
2024,ธันวาคม,17,Thailand,Non Alc Bev,Virgin Mojito,2
2024,ธันวาคม,17,Thailand,Non Alc Bev,Virgin Pina,1
2024,ธันวาคม,17,Thailand,Non Alc Bev,Watermelon J,5
2024,ธันวาคม,17,Thailand,Spirit,Absolut Gls,1
2024,ธันวาคม,17,Thailand,Spirit,Aloha sunset tiki,1
2024,ธันวาคม,17,Thailand,Spirit,Aperol Spritz,12
2024,ธันวาคม,17,Thailand,Spirit,Bailey's Gls,1
2024,ธันวาคม,17,Thailand,Spirit,Banana smoothie,1
2024,ธันวาคม,17,Thailand,Spirit,Bellini,2
2024,ธันวาคม,17,Thailand,Spirit,Belvedere Mule,2
2024,ธันวาคม,17,Thailand,Spirit,Blue Hawaii,5
2024,ธันวาคม,17,Thailand,Spirit,Bombay Sapphire Gls,9
2024,ธันวาคม,17,Thailand,Spirit,Chivas Regal Gls,3
2024,ธันวาคม,17,Thailand,Spirit,Classic Mimosa,2
2024,ธันวาคม,17,Thailand,Spirit,Coconut nitro,1
2024,ธันวาคม,17,Thailand,Spirit,Daiquiri,1
2024,ธันวาคม,17,Thailand,Spirit,Espresso Martini,1
2024,ธันวาคม,17,Thailand,Spirit,Golden Tiki Glow,4
2024,ธันวาคม,17,Thailand,Spirit,Hendrick's Gls,1
2024,ธันวาคม,17,Thailand,Spirit,Jager boom,7
2024,ธันวาคม,17,Thailand,Spirit,John Jameson Gls,4
2024,ธันวาคม,17,Thailand,Spirit,JW Black,1
2024,ธันวาคม,17,Thailand,Spirit,Long Island Ice Tea,5
2024,ธันวาคม,17,Thailand,Spirit,Margarita,2
2024,ธันวาคม,17,Thailand,Spirit,Mojito,21
2024,ธันวาคม,17,Thailand,Spirit,Monkey Shoulder G,3
2024,ธันวาคม,17,Thailand,Spirit,Pina Colada,6
2024,ธันวาคม,17,Thailand,Spirit,Sambuca Gls,4
2024,ธันวาคม,17,Thailand,Spirit,San Jose Gold Gls,1
2024,ธันวาคม,17,Thailand,Spirit,Tanqueray Gls,2
2024,ธันวาคม,17,Thailand,Spirit,White Sangria Pitcher,1
2024,ธันวาคม,17,Thailand,Tips,TIP,1
2024,ธันวาคม,17,Thailand,Wine,Chateau Roubine Btl,1
2024,ธันวาคม,17,Thailand,Wine,Main Divide Pinot Gls,3
2024,ธันวาคม,17,Thailand,Wine,Marcello Del Majno Btl,2
2024,ธันวาคม,17,Thailand,Wine,Marcello Del Majno Gls,1
2024,ธันวาคม,17,Thailand,Wine,Montgras Char Gls,1
2024,ธันวาคม,17,Thailand,Wine,Vitis Nostra Gls,4
2024,ธันวาคม,18,Thailand,Beer,Chang Beer BT.,30
2024,ธันวาคม,18,Thailand,Beer,Heineken Beer BT.,9
2024,ธันวาคม,18,Thailand,Beer,San Miguel Light,7
2024,ธันวาคม,18,Thailand,Beer,Say Play Gls,3
2024,ธันวาคม,18,Thailand,Beer,Say Play Jug,1
2024,ธันวาคม,18,Thailand,Beer,Singha Beer BT.,10
2024,ธันวาคม,18,Thailand,Condiment,2g,1
2024,ธันวาคม,18,Thailand,Condiment,2g.,3
2024,ธันวาคม,18,Thailand,Condiment,3 water 5 g.,1
2024,ธันวาคม,18,Thailand,Condiment,3g.,2
2024,ธันวาคม,18,Thailand,Condiment,Calamari sauce,2
2024,ธันวาคม,18,Thailand,Condiment,Cut,1
2024,ธันวาคม,18,Thailand,Condiment,Do Not Make Order,9
2024,ธันวาคม,18,Thailand,Condiment,Frozen,3
2024,ธันวาคม,18,Thailand,Condiment,Hot,1
2024,ธันวาคม,18,Thailand,Condiment,Less spicy,1
2024,ธันวาคม,18,Thailand,Condiment,Neat,6
2024,ธันวาคม,18,Thailand,Condiment,No chil,4
2024,ธันวาคม,18,Thailand,Condiment,No Cool no ice,1
2024,ธันวาคม,18,Thailand,Condiment,No ice,2
2024,ธันวาคม,18,Thailand,Condiment,No pickle,1
2024,ธันวาคม,18,Thailand,Condiment,No pork,2
2024,ธันวาคม,18,Thailand,Condiment,On The Rock,15
2024,ธันวาคม,18,Thailand,Condiment,Shake,2
2024,ธันวาคม,18,Thailand,Condiment,Shot,6
2024,ธันวาคม,18,Thailand,Condiment,Take away,8
2024,ธันวาคม,18,Thailand,Condiment,With Lemon and Cucumber,2
2024,ธันวาคม,18,Thailand,Food,Add Chicken,2
2024,ธันวาคม,18,Thailand,Food,Aglo Olio Pancetta,1
2024,ธันวาคม,18,Thailand,Food,Al Quattro Formaggi,1
2024,ธันวาคม,18,Thailand,Food,Andaman Lobster,1
2024,ธันวาคม,18,Thailand,Food,AUS Wagyu BG,4
2024,ธันวาคม,18,Thailand,Food,Beef Bresaola,1
2024,ธันวาคม,18,Thailand,Food,Black Forest,2
2024,ธันวาคม,18,Thailand,Food,Caesar Salad,2
2024,ธันวาคม,18,Thailand,Food,Calamari Fritter,7
2024,ธันวาคม,18,Thailand,Food,Caramel IC,1
2024,ธันวาคม,18,Thailand,Food,Carbonara,1
2024,ธันวาคม,18,Thailand,Food,Chicken Burger,1
2024,ธันวาคม,18,Thailand,Food,Chicken ch croissant,1
2024,ธันวาคม,18,Thailand,Food,Chicken Satay,1
2024,ธันวาคม,18,Thailand,Food,Chicken Wing,4
2024,ธันวาคม,18,Thailand,Food,Fries,7
2024,ธันวาคม,18,Thailand,Food,Green Dragon Roll(VG),2
2024,ธันวาคม,18,Thailand,Food,Grill Salmon,5
2024,ธันวาคม,18,Thailand,Food,Hummus,4
2024,ธันวาคม,18,Thailand,Food,Kaopad Gai,1
2024,ธันวาคม,18,Thailand,Food,Kaopad Goong,1
2024,ธันวาคม,18,Thailand,Food,Kaopad Moo,2
2024,ธันวาคม,18,Thailand,Food,Maguro Sashimi,1
2024,ธันวาคม,18,Thailand,Food,Margherita PZ,6
2024,ธันวาคม,18,Thailand,Food,Mixed Fruit,2
2024,ธันวาคม,18,Thailand,Food,Oreo IC,1
2024,ธันวาคม,18,Thailand,Food,Pad Kaprao Gai,3
2024,ธันวาคม,18,Thailand,Food,Pain an Chocolate,1
2024,ธันวาคม,18,Thailand,Food,Philadelphia Roll,1
2024,ธันวาคม,18,Thailand,Food,Pomodoro,1
2024,ธันวาคม,18,Thailand,Food,Pork ribs,1
2024,ธันวาคม,18,Thailand,Food,Pure Poached,1
2024,ธันวาคม,18,Thailand,Food,Red Velvet,1
2024,ธันวาคม,18,Thailand,Food,Rice,1
2024,ธันวาคม,18,Thailand,Food,Salmon Ceviche,2
2024,ธันวาคม,18,Thailand,Food,Salmon Sashimi (Sake),1
2024,ธันวาคม,18,Thailand,Food,Seafood PZ,1
2024,ธันวาคม,18,Thailand,Food,Serrano and Arugula PZ,2
2024,ธันวาคม,18,Thailand,Food,Spiced Seafood Salad,1
2024,ธันวาคม,18,Thailand,Food,Spicy Tuna Roll,3
2024,ธันวาคม,18,Thailand,Food,Spring Roll,4
2024,ธันวาคม,18,Thailand,Food,Sweet Potato Fries,2
2024,ธันวาคม,18,Thailand,Food,The Italian farmer's Table,1
2024,ธันวาคม,18,Thailand,Food,Truffle Fries,8
2024,ธันวาคม,18,Thailand,Food,Truffle Mac N Cheese,4
2024,ธันวาคม,18,Thailand,Food,Ultimate Sashimi (20 Pieces),2
2024,ธันวาคม,18,Thailand,Food,Under the sea,3
2024,ธันวาคม,18,Thailand,Food,Vanilla IC,1
2024,ธันวาคม,18,Thailand,Food,Whole wheat,1
2024,ธันวาคม,18,Thailand,Misc,rent towel,1
2024,ธันวาคม,18,Thailand,Non Alc Bev,Camomile,1
2024,ธันวาคม,18,Thailand,Non Alc Bev,Cappuccino,2
2024,ธันวาคม,18,Thailand,Non Alc Bev,Classic nitro brew,1
2024,ธันวาคม,18,Thailand,Non Alc Bev,Coconut J,7
2024,ธันวาคม,18,Thailand,Non Alc Bev,Coke,13
2024,ธันวาคม,18,Thailand,Non Alc Bev,Coke Zero,12
2024,ธันวาคม,18,Thailand,Non Alc Bev,Espresso,1
2024,ธันวาคม,18,Thailand,Non Alc Bev,Ginger Ale,2
2024,ธันวาคม,18,Thailand,Non Alc Bev,Ice Cappucino,2
2024,ธันวาคม,18,Thailand,Non Alc Bev,Lime  J,2
2024,ธันวาคม,18,Thailand,Non Alc Bev,Mango J,1
2024,ธันวาคม,18,Thailand,Non Alc Bev,Orange  J,3
2024,ธันวาคม,18,Thailand,Non Alc Bev,Peppermint,1
2024,ธันวาคม,18,Thailand,Non Alc Bev,Red Bull,5
2024,ธันวาคม,18,Thailand,Non Alc Bev,San Pelli Lg.,4
2024,ธันวาคม,18,Thailand,Non Alc Bev,Singha Water,24
2024,ธันวาคม,18,Thailand,Non Alc Bev,Soda,7
2024,ธันวาคม,18,Thailand,Non Alc Bev,Sprite,6
2024,ธันวาคม,18,Thailand,Non Alc Bev,Tonic,6
2024,ธันวาคม,18,Thailand,Non Alc Bev,Virgin Pina,1
2024,ธันวาคม,18,Thailand,Non Alc Bev,Watermelon J,5
